	sub_id	agent	tau_gen	lambda_gen	interrupted	duration	n_tr	n_tr_b1	n_tr_b2	n_tr_b3	mean_tr_over_blocks	std_tr_over_blocks	n_tr_r1	n_tr_r2	n_tr_r3	n_tr_r4	n_tr_r5	n_tr_r6	n_tr_r7	n_tr_r8	n_tr_r9	n_tr_r10	n_val_actions	n_val_blocks	n_val_rounds	n_drills	p_drills	mean_drills	std_drills	n_steps	p_steps	n_drills_b1	n_drills_b2	n_drills_b3	mean_drills_b1	mean_drills_b2	mean_drills_b3	n_steps_b1	n_steps_b2	n_steps_b3	n_drills_r01	n_drills_r02	n_drills_r03	n_drills_r04	n_drills_r05	n_drills_r06	n_drills_r07	n_drills_r08	n_drills_r09	n_drills_r10	n_steps_r01	n_steps_r02	n_steps_r03	n_steps_r04	n_steps_r05	n_steps_r06	n_steps_r07	n_steps_r08	n_steps_r09	n_steps_r10	n_tr_giv_hides_0	n_tr_giv_hides_1	n_tr_giv_hides_2	n_tr_giv_hides_3	p_tr_giv_hides_0	p_tr_giv_hides_1	p_tr_giv_hides_2	p_tr_giv_hides_3	p_unv_if_drill	p_unv_if_step	p_visible_hide_giv_0.0_tr_disc	p_visible_hide_giv_1.0_tr_disc	n_tr_giv_hides_4	n_tr_giv_hides_5	p_tr_giv_hides_4	p_tr_giv_hides_5	n_tr_giv_hides_6	p_tr_giv_hides_6
587	A3_rep-1_tau-1100_lambda-700_part-3	A3	1.1	0.7	0	n/a	3.0	0.0	1.0	2.0	1.0	0.816496580927726	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	349	3	30	68	0.19484240687679083	0.19484240687679083	0.39607933972785037	281	0.8051575931232091	21	25	22	0.175	0.21367521367521367	0.19642857142857142	99	92	90	5	4	11	7	8	6	11	6	9	1	31	29	25	26	23	30	25	30	27	35	1.0	2.0	0.0	0.0	0.008264462809917356	0.025	0.0	0.0	1.3823529411764706	n/a	0.2727272727272727	0.3333333333333333	0.0	n/a	0.0	n/a	n/a	n/a
588	A3_rep-1_tau-1100_lambda-700_part-4	A3	1.1	0.7	0	n/a	8.0	3.0	2.0	3.0	2.6666666666666665	0.4714045207910317	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	313	3	30	69	0.22044728434504793	0.22044728434504793	0.4145482832794529	244	0.7795527156549521	22	29	18	0.2037037037037037	0.27358490566037735	0.18181818181818182	86	77	81	7	2	11	5	13	11	5	9	5	1	20	23	25	30	23	25	26	24	31	17	2.0	2.0	1.0	2.0	0.02197802197802198	0.016	0.058823529411764705	0.06666666666666667	1.4782608695652173	n/a	0.43902439024390244	0.375	0.0	1.0	0.0	0.021739130434782608	n/a	n/a
589	A3_rep-1_tau-1100_lambda-700_part-5	A3	1.1	0.7	0	n/a	11.0	4.0	4.0	3.0	3.6666666666666665	0.4714045207910317	2.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	297	3	30	66	0.2222222222222222	0.2222222222222222	0.41573970964154905	231	0.7777777777777778	19	23	24	0.18811881188118812	0.23958333333333334	0.24	82	73	76	9	6	10	8	7	3	6	8	5	4	15	24	26	17	22	27	30	19	24	27	5.0	0.0	2.0	4.0	0.03571428571428571	0.0	0.030303030303030304	0.09302325581395349	1.196969696969697	n/a	0.41379310344827586	0.45454545454545453	n/a	n/a	n/a	n/a	n/a	n/a
590	A3_rep-1_tau-1100_lambda-700_part-6	A3	1.1	0.7	0	n/a	7.0	1.0	4.0	2.0	2.3333333333333335	1.247219128924647	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	335	3	30	74	0.2208955223880597	0.2208955223880597	0.4148502025755392	261	0.7791044776119403	25	22	27	0.20833333333333334	0.21153846153846154	0.24324324324324326	95	82	84	11	8	9	9	8	8	4	8	6	3	25	21	27	27	28	21	32	26	25	29	0.0	1.0	1.0	2.0	0.0	0.024390243902439025	0.019230769230769232	0.015384615384615385	1.4189189189189189	n/a	0.7115384615384616	0.7142857142857143	1.0	2.0	0.05555555555555555	0.07407407407407407	n/a	n/a
591	A3_rep-1_tau-1100_lambda-700_part-7	A3	1.1	0.7	0	n/a	7.0	3.0	4.0	0.0	2.3333333333333335	1.699673171197595	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	307	3	30	73	0.23778501628664495	0.23778501628664495	0.4257267930447941	234	0.762214983713355	20	26	27	0.2127659574468085	0.27956989247311825	0.225	74	67	93	9	11	9	7	8	7	6	5	7	4	16	25	27	18	28	29	24	22	22	23	3.0	0.0	0.0	0.0	0.022900763358778626	0.0	0.0	0.0	1.7534246575342465	n/a	0.7083333333333334	0.5714285714285714	1.0	3.0	0.047619047619047616	0.07692307692307693	n/a	n/a
592	A3_rep-1_tau-1100_lambda-700_part-8	A3	1.1	0.7	0	n/a	6.0	0.0	3.0	3.0	2.0	1.4142135623730951	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	315	3	30	69	0.21904761904761905	0.21904761904761905	0.41360096667825647	246	0.780952380952381	27	22	20	0.225	0.23404255319148937	0.19801980198019803	93	72	81	7	9	8	8	9	9	4	2	10	3	18	20	28	28	27	27	25	34	16	23	2.0	0.0	0.0	4.0	0.044444444444444446	0.0	0.0	0.021164021164021163	1.3043478260869565	n/a	0.7142857142857143	0.5	n/a	n/a	n/a	n/a	n/a	n/a
593	A3_rep-1_tau-1100_lambda-700_part-9	A3	1.1	0.7	0	n/a	10.0	3.0	3.0	4.0	3.3333333333333335	0.4714045207910317	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	296	3	30	59	0.19932432432432431	0.19932432432432431	0.39949235043612025	237	0.8006756756756757	18	21	20	0.17647058823529413	0.23076923076923078	0.1941747572815534	84	70	83	5	5	1	7	10	10	8	6	4	3	22	27	15	20	26	26	28	30	18	25	6.0	1.0	1.0	2.0	0.03389830508474576	0.015151515151515152	0.058823529411764705	0.05555555555555555	1.271186440677966	n/a	0.1956521739130435	0.1	n/a	n/a	n/a	n/a	n/a	n/a
594	A3_rep-1_tau-1100_lambda-900_part-0	A3	1.1	0.9	0	n/a	8.0	3.0	2.0	3.0	2.6666666666666665	0.4714045207910317	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	313	3	30	68	0.21725239616613418	0.21725239616613418	0.41237579042204614	245	0.7827476038338658	22	22	24	0.21568627450980393	0.21782178217821782	0.21818181818181817	80	79	86	0	10	3	8	7	7	5	8	12	8	16	26	22	20	29	27	26	28	24	27	2.0	0.0	2.0	3.0	0.02702702702702703	0.0	0.03225806451612903	0.05660377358490566	1.3970588235294117	n/a	0.5365853658536586	0.375	1.0	n/a	0.009900990099009901	n/a	n/a	n/a
595	A3_rep-1_tau-1100_lambda-900_part-1	A3	1.1	0.9	0	n/a	8.0	2.0	4.0	2.0	2.6666666666666665	0.9428090415820634	2.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	309	3	30	80	0.2588996763754045	0.2588996763754045	0.43803040299517493	229	0.7411003236245954	28	24	28	0.2616822429906542	0.2553191489361702	0.25925925925925924	79	70	80	5	12	13	4	11	8	13	11	2	1	14	24	23	19	19	19	23	25	32	31	4.0	4.0	n/a	n/a	0.02857142857142857	0.023668639053254437	n/a	n/a	1.6875	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
596	A3_rep-1_tau-1100_lambda-900_part-10	A3	1.1	0.9	0	n/a	10.0	2.0	7.0	1.0	3.3333333333333335	2.6246692913372702	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	289	3	30	63	0.2179930795847751	0.2179930795847751	0.41288266715608324	226	0.7820069204152249	28	17	18	0.2545454545454545	0.2463768115942029	0.16363636363636364	82	52	92	6	5	7	6	6	9	6	9	9	0	20	26	18	23	30	21	24	21	18	25	3.0	1.0	1.0	2.0	0.0967741935483871	0.014925373134328358	0.0078125	0.09523809523809523	1.507936507936508	n/a	0.0	0.0	3.0	0.0	0.2727272727272727	0.0	n/a	n/a
597	A3_rep-1_tau-1100_lambda-900_part-2	A3	1.1	0.9	0	n/a	8.0	3.0	2.0	3.0	2.6666666666666665	0.4714045207910317	2.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	302	3	30	66	0.2185430463576159	0.2185430463576159	0.4132577685251045	236	0.7814569536423841	17	27	22	0.18085106382978725	0.27	0.2037037037037037	77	73	86	2	10	3	5	13	6	4	9	9	5	16	26	23	21	19	23	23	27	27	31	4.0	2.0	0.0	2.0	0.031746031746031744	0.02564102564102564	0.0	0.030303030303030304	1.4242424242424243	n/a	0.2	0.25	n/a	n/a	n/a	n/a	n/a	n/a
598	A3_rep-1_tau-1100_lambda-900_part-3	A3	1.1	0.9	0	n/a	9.0	3.0	5.0	1.0	3.0	1.632993161855452	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	307	3	30	66	0.21498371335504887	0.21498371335504887	0.4108110470120333	241	0.7850162866449512	26	17	23	0.2524271844660194	0.19540229885057472	0.19658119658119658	77	70	94	4	12	10	6	8	6	4	10	5	1	21	24	26	21	28	23	29	23	20	26	1.0	3.0	3.0	1.0	0.013157894736842105	0.022900763358778626	0.07692307692307693	0.020833333333333332	1.4242424242424243	n/a	0.391304347826087	0.3333333333333333	1.0	n/a	0.07692307692307693	n/a	n/a	n/a
599	A3_rep-1_tau-1100_lambda-900_part-4	A3	1.1	0.9	0	n/a	5.0	2.0	2.0	1.0	1.6666666666666667	0.4714045207910317	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	324	3	30	75	0.23148148148148148	0.23148148148148148	0.42177933236779164	249	0.7685185185185185	19	25	31	0.1792452830188679	0.25510204081632654	0.25833333333333336	87	73	89	7	8	8	5	11	4	12	8	10	2	29	28	28	20	25	23	24	28	26	18	1.0	0.0	2.0	2.0	0.015873015873015872	0.0	0.018518518518518517	0.022988505747126436	1.4266666666666667	n/a	0.10526315789473684	0.4	n/a	n/a	n/a	n/a	n/a	n/a
600	A3_rep-1_tau-1100_lambda-900_part-5	A3	1.1	0.9	0	n/a	8.0	4.0	3.0	1.0	2.6666666666666665	1.247219128924647	2.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	290	3	30	52	0.1793103448275862	0.1793103448275862	0.38361197200478286	238	0.8206896551724138	11	19	22	0.12941176470588237	0.2	0.2	74	76	88	3	6	2	10	5	11	4	5	2	4	12	21	15	26	31	25	32	20	24	32	3.0	5.0	0.0	0.0	0.06382978723404255	0.03759398496240601	0.0	0.0	1.4038461538461537	n/a	0.05555555555555555	0.125	0.0	n/a	0.0	n/a	n/a	n/a
601	A3_rep-1_tau-1100_lambda-900_part-6	A3	1.1	0.9	0	n/a	9.0	3.0	4.0	2.0	3.0	0.816496580927726	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	311	3	30	68	0.21864951768488747	0.21864951768488747	0.41333026274524537	243	0.7813504823151125	22	23	23	0.205607476635514	0.23	0.22115384615384615	85	77	81	1	9	10	7	9	5	10	9	7	1	17	18	26	20	27	26	26	27	26	30	3.0	0.0	0.0	4.0	0.10714285714285714	0.0	0.0	0.04395604395604396	1.5	n/a	0.54	0.4444444444444444	0.0	2.0	0.0	0.04081632653061224	n/a	n/a
602	A3_rep-1_tau-1100_lambda-900_part-7	A3	1.1	0.9	0	n/a	8.0	3.0	3.0	2.0	2.6666666666666665	0.4714045207910317	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	323	3	30	72	0.22291021671826625	0.22291021671826625	0.41619857280015005	251	0.7770897832817337	24	21	27	0.21238938053097345	0.20388349514563106	0.2523364485981308	89	82	80	8	9	5	9	8	8	10	6	6	3	20	27	19	27	28	28	26	27	23	26	3.0	2.0	1.0	0.0	0.036585365853658534	0.017094017094017096	0.012195121951219513	0.0	1.4305555555555556	n/a	0.09803921568627451	0.125	2.0	n/a	0.25	n/a	n/a	n/a
603	A3_rep-1_tau-1100_lambda-900_part-8	A3	1.1	0.9	0	n/a	4.0	0.0	3.0	1.0	1.3333333333333333	1.247219128924647	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	332	3	30	62	0.18674698795180722	0.18674698795180722	0.38970828890688836	270	0.8132530120481928	21	27	14	0.175	0.2621359223300971	0.12844036697247707	99	76	95	5	8	5	3	11	8	6	4	9	3	17	28	31	22	25	28	30	29	27	33	2.0	2.0	0.0	0.0	0.022988505747126436	0.011299435028248588	0.0	0.0	1.3870967741935485	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
604	A3_rep-1_tau-1100_lambda-900_part-9	A3	1.1	0.9	0	n/a	8.0	2.0	2.0	4.0	2.6666666666666665	0.9428090415820634	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	299	3	30	56	0.18729096989966554	0.18729096989966554	0.39014492498776415	243	0.8127090301003345	25	18	13	0.24271844660194175	0.17475728155339806	0.13978494623655913	78	85	80	5	6	7	2	5	7	8	5	7	4	21	30	20	34	30	29	28	23	16	12	1.0	6.0	1.0	0.0	0.011235955056179775	0.03278688524590164	0.041666666666666664	0.0	1.3214285714285714	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
605	A3_rep-1_tau-1200_lambda-100_part-0	A3	1.2	0.1	0	n/a	6.0	3.0	1.0	2.0	2.0	0.816496580927726	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	329	3	30	79	0.24012158054711247	0.24012158054711247	0.42715712226611535	250	0.7598784194528876	26	28	25	0.24299065420560748	0.24561403508771928	0.23148148148148148	81	86	83	3	10	11	13	11	10	5	7	6	3	16	26	25	23	25	26	31	29	24	25	2.0	1.0	2.0	1.0	0.024096385542168676	0.012345679012345678	0.017699115044247787	0.019230769230769232	1.3037974683544304	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
606	A3_rep-1_tau-1200_lambda-100_part-1	A3	1.2	0.1	0	n/a	9.0	3.0	4.0	2.0	3.0	0.816496580927726	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	308	3	30	73	0.237012987012987	0.237012987012987	0.42525031569673016	235	0.762987012987013	28	17	28	0.25688073394495414	0.18478260869565216	0.2616822429906542	81	75	79	10	12	13	9	3	5	6	5	8	2	17	24	23	16	26	21	29	31	26	22	2.0	1.0	2.0	4.0	0.018691588785046728	0.011235955056179775	0.058823529411764705	0.05128205128205128	1.3835616438356164	n/a	0.3404255319148936	0.3333333333333333	n/a	n/a	n/a	n/a	n/a	n/a
607	A3_rep-1_tau-1200_lambda-100_part-10	A3	1.2	0.1	0	n/a	9.0	2.0	4.0	3.0	3.0	0.816496580927726	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	306	3	30	71	0.23202614379084968	0.23202614379084968	0.42212558840752307	235	0.7679738562091504	22	26	23	0.19130434782608696	0.3132530120481928	0.21296296296296297	93	57	85	8	10	11	4	8	7	5	9	7	2	19	25	25	24	28	20	31	20	20	23	0.0	2.0	1.0	3.0	0.0	0.02564102564102564	0.019230769230769232	0.030612244897959183	1.2112676056338028	n/a	0.044444444444444446	0.2222222222222222	3.0	n/a	0.08333333333333333	n/a	n/a	n/a
608	A3_rep-1_tau-1200_lambda-100_part-2	A3	1.2	0.1	0	n/a	6.0	1.0	5.0	0.0	2.0	2.160246899469287	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	309	3	30	76	0.2459546925566343	0.2459546925566343	0.4306518103596057	233	0.7540453074433657	27	19	30	0.24107142857142858	0.24675324675324675	0.25	85	58	90	9	12	8	6	6	9	7	10	6	3	20	24	18	19	30	21	21	26	30	24	1.0	2.0	2.0	1.0	0.043478260869565216	0.017699115044247787	0.01680672268907563	0.018518518518518517	1.368421052631579	n/a	0.0	0.16666666666666666	n/a	n/a	n/a	n/a	n/a	n/a
609	A3_rep-1_tau-1200_lambda-100_part-3	A3	1.2	0.1	0	n/a	5.0	0.0	4.0	1.0	1.6666666666666667	1.699673171197595	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	319	3	30	75	0.23510971786833856	0.23510971786833856	0.42406737487362645	244	0.7648902821316614	29	23	23	0.24166666666666667	0.26436781609195403	0.20535714285714285	91	64	89	6	8	8	8	9	6	7	6	12	5	24	20	28	20	27	30	29	22	24	20	2.0	0.0	0.0	3.0	0.012121212121212121	0.0	0.0	0.05172413793103448	1.3733333333333333	n/a	0.21428571428571427	0.4	n/a	n/a	n/a	n/a	n/a	n/a
610	A3_rep-1_tau-1200_lambda-100_part-4	A3	1.2	0.1	0	n/a	8.0	3.0	3.0	2.0	2.6666666666666665	0.4714045207910317	1.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	312	3	30	67	0.21474358974358973	0.21474358974358973	0.41064434783353165	245	0.7852564102564102	17	25	25	0.1717171717171717	0.25	0.22123893805309736	82	75	88	7	4	10	6	5	8	9	4	10	4	18	20	26	17	31	26	27	23	26	31	2.0	4.0	1.0	1.0	0.020833333333333332	0.05	0.047619047619047616	0.010309278350515464	1.1194029850746268	n/a	0.25	0.125	0.0	0.0	0.0	0.0	n/a	n/a
611	A3_rep-1_tau-1200_lambda-100_part-5	A3	1.2	0.1	0	n/a	7.0	2.0	3.0	2.0	2.3333333333333335	0.4714045207910317	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	303	3	30	69	0.22772277227722773	0.22772277227722773	0.41936274424846276	234	0.7722772277227723	21	22	26	0.20192307692307693	0.22916666666666666	0.2524271844660194	83	74	77	3	7	8	8	8	7	8	7	9	4	13	22	18	19	22	24	28	29	27	32	6.0	0.0	0.0	1.0	0.06	0.0	0.0	0.013333333333333334	1.0579710144927537	n/a	0.25	0.14285714285714285	0.0	0.0	0.0	0.0	n/a	n/a
612	A3_rep-1_tau-1200_lambda-100_part-6	A3	1.2	0.1	0	n/a	5.0	2.0	2.0	1.0	1.6666666666666667	0.4714045207910317	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	329	3	30	82	0.24924012158054712	0.24924012158054712	0.43257309599079463	247	0.7507598784194529	23	31	28	0.22549019607843138	0.27927927927927926	0.2413793103448276	79	80	88	5	11	9	8	9	7	12	10	7	4	20	25	27	28	23	24	17	26	29	28	1.0	1.0	1.0	2.0	0.013513513513513514	0.015873015873015872	0.008	0.029850746268656716	1.475609756097561	n/a	0.8333333333333334	0.6	n/a	n/a	n/a	n/a	n/a	n/a
613	A3_rep-1_tau-1200_lambda-100_part-7	A3	1.2	0.1	0	n/a	8.0	2.0	3.0	3.0	2.6666666666666665	0.4714045207910317	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	308	3	30	72	0.23376623376623376	0.23376623376623376	0.42322521394286555	236	0.7662337662337663	29	20	23	0.26605504587155965	0.21052631578947367	0.22115384615384615	80	75	81	10	7	10	10	7	4	10	6	6	2	26	25	26	15	22	22	19	24	28	29	1.0	2.0	0.0	5.0	0.023809523809523808	0.028169014084507043	0.0	0.03787878787878788	1.3194444444444444	n/a	0.25	0.25	n/a	n/a	n/a	n/a	n/a	n/a
614	A3_rep-1_tau-1200_lambda-100_part-8	A3	1.2	0.1	0	n/a	7.0	0.0	4.0	3.0	2.3333333333333335	1.699673171197595	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	308	3	30	77	0.25	0.25	0.4330127018922193	231	0.75	29	20	28	0.24166666666666667	0.2127659574468085	0.2978723404255319	91	74	66	13	5	11	6	5	8	12	6	9	2	23	26	25	23	23	23	24	30	18	16	1.0	2.0	0.0	1.0	0.01694915254237288	0.034482758620689655	0.0	0.01818181818181818	1.5064935064935066	n/a	0.44	0.42857142857142855	3.0	n/a	0.03409090909090909	n/a	n/a	n/a
615	A3_rep-1_tau-1200_lambda-100_part-9	A3	1.2	0.1	0	n/a	7.0	2.0	2.0	3.0	2.3333333333333335	0.4714045207910317	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	322	3	30	80	0.2484472049689441	0.2484472049689441	0.43211247530251146	242	0.7515527950310559	25	30	25	0.2336448598130841	0.25862068965517243	0.25252525252525254	82	86	74	6	11	9	11	7	4	8	12	8	4	19	25	27	21	20	31	21	24	28	26	1.0	1.0	3.0	2.0	0.01639344262295082	0.02564102564102564	0.022388059701492536	0.022727272727272728	1.35	n/a	0.1282051282051282	0.14285714285714285	n/a	n/a	n/a	n/a	n/a	n/a
616	A3_rep-1_tau-1200_lambda-300_part-0	A3	1.2	0.3	0	n/a	6.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	313	3	30	79	0.2523961661341853	0.2523961661341853	0.434387317327463	234	0.7476038338658147	26	29	24	0.23636363636363636	0.2815533980582524	0.24	84	74	76	8	7	11	5	4	9	11	9	13	2	10	29	25	20	32	21	22	27	23	25	2.0	1.0	2.0	1.0	0.017391304347826087	0.012048192771084338	0.03225806451612903	0.018867924528301886	1.6708860759493671	n/a	0.3684210526315789	0.3333333333333333	n/a	n/a	n/a	n/a	n/a	n/a
617	A3_rep-1_tau-1200_lambda-300_part-1	A3	1.2	0.3	0	n/a	7.0	1.0	2.0	4.0	2.3333333333333335	1.247219128924647	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	321	3	30	80	0.24922118380062305	0.24922118380062305	0.43256211732610045	241	0.7507788161993769	24	31	25	0.21052631578947367	0.28440366972477066	0.25510204081632654	90	78	73	7	8	9	10	8	10	12	9	6	1	20	28	27	26	22	26	24	24	23	21	1.0	1.0	0.0	4.0	0.01818181818181818	0.030303030303030304	0.0	0.032520325203252036	1.4875	n/a	0.4473684210526316	0.42857142857142855	1.0	n/a	0.017543859649122806	n/a	n/a	n/a
618	A3_rep-1_tau-1200_lambda-300_part-10	A3	1.2	0.3	0	n/a	6.0	1.0	3.0	2.0	2.0	0.816496580927726	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	326	3	30	76	0.2331288343558282	0.2331288343558282	0.4228235813524608	250	0.7668711656441718	30	24	22	0.25862068965517243	0.24242424242424243	0.1981981981981982	86	75	89	9	9	4	9	4	8	8	11	13	1	27	27	24	18	26	28	28	22	23	27	3.0	0.0	0.0	3.0	0.02	0.0	0.0	0.025423728813559324	1.3026315789473684	n/a	0.375	0.3333333333333333	n/a	n/a	n/a	n/a	n/a	n/a
619	A3_rep-1_tau-1200_lambda-300_part-2	A3	1.2	0.3	0	n/a	7.0	0.0	6.0	1.0	2.3333333333333335	2.6246692913372702	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	329	3	30	77	0.23404255319148937	0.23404255319148937	0.4233989094070723	252	0.7659574468085106	30	21	26	0.25	0.22340425531914893	0.22608695652173913	90	73	89	7	8	11	10	7	10	6	8	7	3	29	26	21	26	29	24	25	24	22	26	0.0	2.0	1.0	2.0	0.0	0.021505376344086023	0.018518518518518517	0.06451612903225806	1.5194805194805194	n/a	0.08695652173913043	0.14285714285714285	2.0	n/a	0.03773584905660377	n/a	n/a	n/a
620	A3_rep-1_tau-1200_lambda-300_part-3	A3	1.2	0.3	0	n/a	6.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	312	3	30	65	0.20833333333333334	0.20833333333333334	0.4061164310337068	247	0.7916666666666666	19	28	18	0.18446601941747573	0.26666666666666666	0.17307692307692307	84	77	86	6	6	6	5	7	9	8	9	6	3	20	16	26	20	20	27	28	27	30	33	3.0	2.0	1.0	0.0	0.028037383177570093	0.031746031746031744	0.010869565217391304	0.0	1.353846153846154	n/a	0.1111111111111111	0.16666666666666666	0.0	n/a	0.0	n/a	n/a	n/a
621	A3_rep-1_tau-1200_lambda-300_part-4	A3	1.2	0.3	0	n/a	6.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	325	3	30	73	0.2246153846153846	0.2246153846153846	0.41732878358611625	252	0.7753846153846153	25	24	24	0.2403846153846154	0.2222222222222222	0.21238938053097345	79	84	89	5	6	10	5	13	14	6	7	5	2	16	25	26	20	23	22	30	28	31	31	3.0	0.0	3.0	0.0	0.023255813953488372	0.0	0.01910828025477707	0.0	1.36986301369863	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
622	A3_rep-1_tau-1200_lambda-300_part-5	A3	1.2	0.3	0	n/a	8.0	3.0	4.0	1.0	2.6666666666666665	1.247219128924647	0.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	330	3	30	79	0.23939393939393938	0.23939393939393938	0.4267135821313756	251	0.7606060606060606	26	26	27	0.24074074074074073	0.25	0.2288135593220339	82	78	91	13	11	10	5	7	5	7	10	6	5	23	23	26	25	29	27	26	21	20	31	0.0	4.0	0.0	4.0	0.0	0.05405405405405406	0.0	0.07142857142857142	1.4683544303797469	n/a	0.25862068965517243	0.375	0.0	0.0	0.0	0.0	n/a	n/a
623	A3_rep-1_tau-1200_lambda-300_part-6	A3	1.2	0.3	0	n/a	5.0	2.0	1.0	2.0	1.6666666666666667	0.4714045207910317	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	342	3	30	73	0.2134502923976608	0.2134502923976608	0.4097429255923938	269	0.7865497076023392	25	26	22	0.211864406779661	0.2222222222222222	0.205607476635514	93	91	85	3	10	8	8	12	11	8	6	5	2	20	26	28	28	24	25	28	30	31	29	2.0	0.0	1.0	1.0	0.03508771929824561	0.0	0.012345679012345678	0.014705882352941176	1.2054794520547945	n/a	0.7567567567567568	0.6	0.0	1.0	0.0	0.018518518518518517	n/a	n/a
624	A3_rep-1_tau-1200_lambda-300_part-7	A3	1.2	0.3	0	n/a	3.0	0.0	3.0	0.0	1.0	1.4142135623730951	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	335	3	30	78	0.23283582089552238	0.23283582089552238	0.42263849967014433	257	0.7671641791044777	30	20	28	0.25	0.21052631578947367	0.23333333333333334	90	75	92	13	10	6	6	12	5	8	7	9	2	23	26	30	30	24	21	28	25	27	23	0.0	2.0	1.0	0.0	0.0	0.013071895424836602	0.010638297872340425	0.0	1.564102564102564	n/a	0.0	0.0	0.0	n/a	0.0	n/a	n/a	n/a
625	A3_rep-1_tau-1200_lambda-300_part-8	A3	1.2	0.3	0	n/a	7.0	3.0	2.0	2.0	2.3333333333333335	0.4714045207910317	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	318	3	30	69	0.2169811320754717	0.2169811320754717	0.4121896655651599	249	0.7830188679245284	20	24	25	0.18518518518518517	0.23300970873786409	0.2336448598130841	88	79	82	4	7	14	9	4	6	3	9	10	3	17	29	22	27	32	24	26	27	26	19	2.0	0.0	2.0	3.0	0.03508771929824561	0.0	0.023809523809523808	0.02631578947368421	1.3333333333333333	n/a	0.4857142857142857	0.2857142857142857	n/a	n/a	n/a	n/a	n/a	n/a
